ROWNUM;NAME;ADDRESS;NAME_PARK;DOP_INF;NAME_WF;ZONA;STATUS;USLOVIE;GLOBALID;X_WGS84;Y_WGS84;
1;"Wi-Fi точка № 1 в парке «Сокольники»";"улица Сокольнический Вал, дом 1, строение 1";"Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Сокольники»";"";"Moscow_Wi-Fi_Free";"20";"";"открытая сеть";"87788489";"37,67774037";"55,79276267";
2;"Wi-Fi точка № 2 в парке «Сокольники»";"улица Сокольнический Вал, дом 1, строение 1";"Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Сокольники»";"";"Moscow_Wi-Fi_Free";"20";"";"открытая сеть";"87788490";"37,67746168";"55,79316231";
3;"Wi-Fi точка № 3 в парке «Сокольники»";"улица Сокольнический Вал, дом 1, строение 1";"Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Сокольники»";"";"Moscow_Wi-Fi_Free";"20";"";"открытая сеть";"87788491";"37,67725679";"55,79356184";
4;"Wi-Fi точка № 4 в парке «Сокольники»";"улица Сокольнический Вал, дом 1, строение 1";"Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Сокольники»";"";"Moscow_Wi-Fi_Free";"20";"";"открытая сеть";"87788492";"37,67848538";"55,79426706";
5;"Wi-Fi точка № 5 в парке «Сокольники»";"улица Сокольнический Вал, дом 1, строение 1";"Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Сокольники»";"";"Moscow_Wi-Fi_Free";"20";"";"открытая сеть";"87788493";"37,67566296";"55,79370551";
6;"Wi-Fi точка № 1 в парке «Измайловский»";"Народный проспект, дом 17";"Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Измайловский»";"";"Moscow_Wi-Fi_Free";"20";"";"открытая сеть";"87788494";"37,75056743";"55,77024212";
7;"Wi-Fi точка № 2 в парке «Измайловский»";"Народный проспект, дом 17";"Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Измайловский»";"";"Moscow_Wi-Fi_Free";"20";"";"открытая сеть";"87788495";"37,75079515";"55,77025354";
8;"Wi-Fi точка № 4 в парке «Измайловский»";"Народный проспект, дом 17";"Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Измайловский»";"";"Moscow_Wi-Fi_Free";"20";"";"открытая сеть";"87788496";"37,74915894";"55,7764724";
9;"Wi-Fi точка № 3 в парке «Измайловский»";"Народный проспект, дом 17";"Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Измайловский»";"";"Moscow_Wi-Fi_Free";"20";"";"открытая сеть";"87788497";"37,74808173";"55,77615019";
10;"Wi-Fi точка № 1 в парке «Фили»";"Большая Филёвская улица, дом 22";"Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Фили»";"";"Moscow_Wi-Fi_Free";"20";"";"открытая сеть";"87788498";"37,48697681";"55,74575873";
