time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-02-17T08:42:06.270Z,36.064,-117.5958333,1.98,0.61,ml,13,79,0.08676,0.18,ci,ci37317776,2015-02-17T08:45:55.449Z,"31km ENE of Little Lake, California",earthquake
2015-02-17T08:36:03.190Z,37.5036659,-119.4639969,4.92,1.03,md,5,203,0.2597,0.04,nc,nc72395985,2015-02-17T08:37:41.440Z,"25km NE of Oakhurst, California",earthquake
2015-02-17T08:22:36.430Z,36.0503333,-117.6068333,2.3,0.71,ml,12,98,0.09578,0.17,ci,ci37317768,2015-02-17T08:26:26.530Z,"30km ENE of Little Lake, California",earthquake
2015-02-17T08:12:22.740Z,38.7546654,-122.715332,2.65,0.97,md,9,104,0.01843,0.02,nc,nc72395970,2015-02-17T08:40:05.446Z,"4km SE of The Geysers, California",earthquake
2015-02-17T07:56:10.080Z,37.4655,-117.9475,9.09,1.22,ml,8,180.51,0.273,,nn,nn00483251,2015-02-17T07:57:58.288Z,"41km ENE of Bishop, California",earthquake
2015-02-17T07:53:57.730Z,33.5703333,-117.0943333,11.74,1.03,ml,42,74,0.06128,0.24,ci,ci37317760,2015-02-17T08:04:38.480Z,"6km E of Murrieta Hot Springs, California",earthquake
2015-02-17T07:44:16.960Z,38.8218346,-122.7655029,2.58,0.87,md,13,64,0.009286,0.02,nc,nc72395960,2015-02-17T08:40:02.569Z,"3km W of Cobb, California",earthquake
2015-02-17T07:19:45.000Z,62.086,-145.5162,24.6,1.7,ml,,,,0.14,ak,ak11510124,2015-02-17T07:44:37.760Z,"3km SSE of Glennallen, Alaska",earthquake
2015-02-17T07:14:46.820Z,36.6411667,-121.2681656,5.91,1.34,md,15,72,0.02557,0.07,nc,nc72395945,2015-02-17T07:35:02.768Z,"20km SSE of Ridgemark, California",earthquake
2015-02-17T07:06:16.250Z,36.0551667,-117.6,2,0.89,ml,15,78,0.08998,0.2,ci,ci37317752,2015-02-17T07:09:52.064Z,"31km ENE of Little Lake, California",earthquake
2015-02-17T07:00:41.200Z,17.9913,-65.619,17,2.1,Md,3,259.2,0.12217088,0.12,pr,pr15048005,2015-02-17T07:23:33.770Z,"19km SW of Esperanza, Puerto Rico",earthquake
2015-02-17T06:37:53.120Z,33.624,-116.6818333,13.97,0.9,ml,38,49,0.05062,0.21,ci,ci37317736,2015-02-17T06:41:48.235Z,"8km N of Anza, California",earthquake
2015-02-17T06:27:06.000Z,64.6032,-149.1823,15.1,1.3,ml,,,,0.24,ak,ak11510110,2015-02-17T07:08:54.887Z,"4km NW of North Nenana, Alaska",earthquake
