ROWNUM;Name;Photo;StationCapacity;BikeParkingSlotsAmount;Longitude_WGS84;Latitude_WGS84;AdmArea;District;Location;ClarificationOfLocation;DepartamentalAffiliation;OperOrgName;OperOrgWebsite;GLOBALID;
1;"Пункт проката велосипедов № 621";"621";"8";"8";"37.6282";"55.7378";"Центральный административный округ";"район Замоскворечье";"Пятницкая улица, дом 41";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2809340";
2;"Пункт проката велосипедов № 620";"620";"12";"12";"37.6361";"55.7577";"Центральный административный округ";"Басманный район";"улица Маросейка, дом 11";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2809339";
3;"Пункт проката велосипедов № 79";"79";"15";"15";"37.5284";"55.7031";"Западный административный округ";"район Раменки";"улица Академика Хохлова, дом 1Н, корпус Г";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2809338";
4;"Пункт проката велосипедов № 18";"18";"12";"12";"37.6225";"55.7671";"Центральный административный округ";"Тверской район";"Цветной бульвар, дом 31";"Трубная площадь, у выхода из метро";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2809337";
5;"Пункт проката велосипедов № 713";"713";"12";"12";"37.5561";"55.6949";"Юго-Западный административный округ";"Гагаринский район";"Ленинский проспект, дом 60/2";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2809336";
6;"Пункт проката велосипедов № 484";"484";"12";"12";"37.5142";"55.7052";"Западный административный округ";"район Раменки";"Ломоносовский проспект, дом 29, корпус 3";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2809335";
7;"Пункт проката велосипедов № 655";"655";"12";"12";"37.541";"55.6423";"Юго-Западный административный округ";"район Коньково";"улица Введенского, дом 13А";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2809334";
8;"Пункт проката велосипедов № 654";"654";"12";"12";"37.5266";"55.6419";"Юго-Западный административный округ";"район Коньково";"Профсоюзная улица, дом 91";"Выход станции метро «Беляево»";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2809333";
9;"Пункт проката велосипедов № 653";"653";"12";"12";"37.5425";"55.6376";"Юго-Западный административный округ";"район Коньково";"улица Миклухо-Маклая, дом 44";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2809332";
10;"Пункт проката велосипедов № 651";"651";"12";"12";"37.5944";"55.6367";"Южный административный округ";"район Чертаново Северное";"Сумской проезд, дом 4, корпус 401";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2809331";
11;"Пункт проката велосипедов № 650";"650";"12";"12";"37.6047";"55.6398";"Южный административный округ";"район Чертаново Северное";"Чертановская улица, дом 7, строение 2";"Выход станции метро «Чертановская»";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2809330";
12;"Пункт проката велосипедов № 615";"615";"12";"12";"37.572";"55.6883";"Юго-Западный административный округ";"Академический район";"улица Дмитрия Ульянова, дом 20, корпус 1";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2809329";
13;"Пункт проката велосипедов № 614";"614";"12";"12";"37.6549";"55.7506";"Центральный административный округ";"Басманный район";"улица Земляной Вал, дом 50А/8, строение 2";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2809328";
14;"Пункт проката велосипедов № 613";"613";"12";"12";"37.6384";"55.7527";"Центральный административный округ";"Таганский район";"улица Солянка, дом 8";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2809327";
15;"Пункт проката велосипедов № 612";"612";"12";"12";"37.5877";"55.712";"Юго-Западный административный округ";"Гагаринский район";"Ленинский проспект, дом 33";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2809326";
16;"Пункт проката велосипедов № 608";"608";"12";"12";"37.6054";"55.724";"Юго-Западный административный округ";"Гагаринский район";"Ленинский проспект, дом 9";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2809325";
17;"Пункт проката велосипедов № 455";"455";"12";"12";"37.5767";"55.7402";"Центральный административный округ";"район Хамовники";"улица Плющиха, дом 39";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2809324";
18;"Пункт проката велосипедов № 452";"452";"12";"12";"37.5727";"55.7403";"Центральный административный округ";"район Хамовники";"7-й Ростовский переулок, дом 11";"Выход с моста для пешеходов";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2809323";
19;"Пункт проката велосипедов № 392";"392";"12";"12";"37.5822";"55.7702";"Центральный административный округ";"Пресненский район";"Большая Грузинская улица, дом 39";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"ЗАО «СитиБайк»";"http://velobike.ru/";"2809322";
