Code	Name	Lat	Lon
001	Гоголевский б-р у Вл.1с4 (ст.м.Кропоткинская)	55.745441	37.600716
002	Гоголевский б-р (напротив д.17с1)	55.748696	37.600224
003	Гоголевский б-р (напротив д.33)	55.750918	37.600593
007	Никитский б-р (напротив д.11/12с3)	55.754924	37.600472
008	Никитский б-р (напротив д.23/14/9)	55.757299	37.598457
009	Тверской б-р (напротив д.2/1)	55.757784	37.598337
010	Тверской б-р (напротив д.17с1)	55.761566	37.602162
011	Тверской б-р (напротив д.28)	55.764610	37.605123
013	Страстной б-р (напротив д.8а)	55.766711	37.609489
014	Страстной б-р (напротив д.16)	55.768066	37.613347
020	Чистопрудный б-р (напротив д.1а) (у метро)	55.764719	37.639141
021	Чистопрудный б-р (напротив д.8с1)	55.764719	37.639141
022	Чистопрудный б-р (напротив д.12с1)	55.760306	37.645530
023	Покровский б-р (напротив д.8с1а)	55.757313	37.647211
024	Покровский б-р (напротив д.12с1)	55.755462	37.648355
025	Покровский б-р (пересечение с Подколокольным пер.)	55.753328	37.647350
026	ул. Тверская д.8	55.762079	37.609620
028	Столешников пер. (напротив д.11)	55.763147	37.617189
029	Камергерский пер. (на площади у д.4)	55.759361	37.612442
032	ул.Кузнецкий мост (у д.13/9с1)	55.761917	37.622831
033	Лубянский пр-зд у д. 27/1с1(у выхода ст.м.Китай-город)	55.753925	37.635106
036	Тургеневская площадь (между выходами ст.м. Тургеневская)	55.765328	37.636779
037	площадь Сретенские ворота, напротив д.1	55.766613	37.631618
039	ул. Покровка д 7/9-11	55.759038	37.642574
041	ул. Неглинная, д. 16/2	55.765204	37.620255
050	Большая Никитская ул. напротив д.13	55.756793	37.604954
052	Фрунзенская наб. (напротив д.4)	55.733558	37.596925
053	Фрунзенская наб. (пересеч. с 1-ой Фрунзенской ул.)	55.725747	37.589864
054	Комсомольский пр-кт (пересеч. с 1-ой Фрунзенской ул.)	55.728007	37.584417
055	Комсомольский пр-кт (пересеч. с 2-ой Фрунзенской ул.)	55.724242	37.579058
056	Фрунзенская наб. (пересеч. с 2-й Фрунзенской ул.)	55.721750	37.586400
057	Комсомольский пр-кт (пересеч. с 3-ей Фрунзенской ул.)	55.721972	37.575858
058	Фрунзенская наб. (пересеч. с 3-ей Фрунзенской ул.)	55.719197	37.583486
059	Фрунзенская наб, д. 54 (пересеч. с ул.Хамовнический вал)	55.715508	37.577989
060	Выход ст.м. Спортивная	55.721839	37.561797
